;;;;;;;
FECHA;Carapungo;CENTRO;COTOCOLLAO;SANGOLQUI;TUMBACO;;
1/1/2025;0,674;0,631;0,381;0,133;0,682;;
1/1/2025;0;0,676;0;0,174;0;;
1/1/2025;0,611;0,696;0,177;0,135;0,319;;
1/1/2025;0,605;0,791;0,155;0,104;0,314;;
1/1/2025;0,612;0,6;0,104;0,078;0,233;;
1/1/2025;0,581;0,568;0,091;0,068;0,186;;
1/1/2025;0,618;0,625;0,143;0,042;0,214;;
1/1/2025;0,706;0,675;0,165;0,053;0,198;;
1/1/2025;0,708;0,641;0,19;0,072;0,186;;
1/1/2025;0,616;0,512;0,19;0,089;0,167;;
1/1/2025;0,617;0,484;0,182;0,113;0,245;;
1/1/2025;0,59;0,484;0,164;0,137;0,272;;
1/1/2025;0,598;0,523;0,129;0,16;0,331;;
1/1/2025;0,634;0,553;0,173;0,159;0,326;;
1/1/2025;0,658;0,513;0,135;0,126;0,286;;
1/1/2025;0,703;0,468;0,083;0,242;0,264;;
1/1/2025;0,67;0,551;0,245;0,262;0,271;;
1/1/2025;0,787;0,637;0,187;0,18;0,233;;
1/1/2025;0,709;0,653;0,162;0,172;0,249;;
1/1/2025;0,718;0,548;0,305;0,139;0,231;;
1/1/2025;0,741;0,56;0,305;0,153;0,202;;
1/1/2025;0,624;0,49;0,173;0,124;0,171;;
1/1/2025;0,654;0,461;0,167;0,096;0,155;;
1/1/2025;0,625;0,397;0,163;0,136;0,153;;
2/1/2025;0,58;0,388;0,081;0,079;0,134;;
2/1/2025;0,556;0,415;0,056;0;0,178;;
2/1/2025;0,555;0,351;0,057;0,032;0,175;;
2/1/2025;0,522;0,383;0,044;0,046;0,173;;
2/1/2025;0,522;0,4;0,036;0,022;0,171;;
2/1/2025;0,591;0,451;0,081;0,037;0,161;;
2/1/2025;0,658;0,551;0,146;0,058;0,262;;
2/1/2025;0,69;0,589;0,189;0,067;0,402;;
2/1/2025;0,697;0,598;0,267;0,095;0,369;;
2/1/2025;0,855;0,646;0,266;0,101;0,287;;
2/1/2025;0,815;0,559;0,182;0,142;0,378;;
2/1/2025;0,736;0,564;0,223;0,167;0,325;;
2/1/2025;0,673;0,566;0,205;0,204;0,343;;
2/1/2025;0,726;0,587;0,213;0,21;0,409;;
2/1/2025;0,73;0,678;0,254;0,176;0,425;;
2/1/2025;0,776;0,69;0,256;0,189;0,485;;
2/1/2025;0,913;0,761;0,156;0,262;0,398;;
2/1/2025;0,803;0,799;0,177;0,398;0,343;;
2/1/2025;0,838;0,761;0,24;0,312;0,277;;
2/1/2025;0,857;0,639;0,354;0,178;0,298;;
2/1/2025;0,833;0,872;0,48;0,126;0,29;;
