Fecha;Carapungo;CENTRO;COTOCOLLAO;Sangolqui;TUMBACO
01/01/2025 00:00;12,77;21,62;25,30;-1,08;19,85
01/01/2025 01:00;9,00;24,04;22,77;-2,71;8,10
01/01/2025 02:00;11,34;23,53;13,52;-9,88;3,91
01/01/2025 03:00;0,00;28,74;0,00;-11,41;0,00
01/01/2025 04:00;11,51;18,34;9,31;-13,90;3,87
01/01/2025 05:00;9,14;15,61;10,50;-13,84;3,11
01/01/2025 06:00;9,24;17,33;11,90;-13,67;4,04
01/01/2025 07:00;12,50;15,70;13,00;-13,95;4,51
01/01/2025 08:00;9,43;11,63;12,46;-11,39;3,28
01/01/2025 09:00;14,73;11,84;11,60;-4,87;2,45
01/01/2025 10:00;14,12;13,04;9,33;-5,99;3,24
01/01/2025 11:00;8,27;8,69;8,39;-7,52;4,08
01/01/2025 12:00;8,84;8,14;7,07;0,69;5,99
01/01/2025 13:00;10,49;8,98;10,80;-3,25;4,63
01/01/2025 14:00;12,53;10,31;7,95;-1,36;3,95
01/01/2025 15:00;13,91;7,87;4,00;-3,40;3,60
01/01/2025 16:00;13,75;11,56;13,81;-5,08;3,99
01/01/2025 17:00;23,47;22,14;11,20;1,87;4,46
01/01/2025 18:00;16,88;24,83;12,15;-5,70;5,60
01/01/2025 19:00;17,69;15,87;18,52;-0,15;5,63
01/01/2025 20:00;18,43;15,91;22,00;-4,48;5,98
01/01/2025 21:00;11,41;9,35;14,25;-8,64;2,86
01/01/2025 22:00;14,06;12,88;15,60;-1,08;3,59
01/01/2025 23:00;13,16;9,98;15,57;-11,79;4,03
02/01/2025 00:00;9,72;8,83;10,06;-14,11;2,85
02/01/2025 01:00;7,84;6,56;7,76;-10,91;3,06
02/01/2025 02:00;7,11;5,37;8,20;-11,66;4,36
02/01/2025 03:00;6,81;4,49;8,68;0,00;4,98
02/01/2025 04:00;8,18;12,51;8,42;-11,35;4,06
02/01/2025 05:00;12,66;18,73;12,39;-12,57;5,49
02/01/2025 06:00;15,09;18,78;17,36;-10,36;11,03
02/01/2025 07:00;15,08;18,21;16,10;-9,40;8,95
02/01/2025 08:00;14,34;13,13;17,85;-4,09;7,85
02/01/2025 09:00;17,66;13,70;14,70;2,07;5,65
02/01/2025 10:00;16,03;10,46;11,11;0,68;6,98
02/01/2025 11:00;15,25;11,90;15,40;-1,42;5,20
02/01/2025 12:00;12,26;10,66;13,43;-8,03;7,60
02/01/2025 13:00;14,31;13,77;13,65;0,23;8,63
02/01/2025 14:00;15,84;19,32;17,75;12,82;9,55
02/01/2025 15:00;18,00;20,41;17,79;14,40;10,20
02/01/2025 16:00;24,58;25,05;10,83;3,95;11,16
02/01/2025 17:00;20,42;25,27;10,86;4,50;8,45
02/01/2025 18:00;21,43;24,13;15,54;6,74;5,78
02/01/2025 19:00;22,37;20,04;23,90;-7,01;6,06
02/01/2025 20:00;22,39;26,17;25,99;-3,51;5,73
02/01/2025 21:00;18,02;22,54;24,46;-8,98;7,62
02/01/2025 22:00;13,24;14,93;24,24;-9,49;8,96
02/01/2025 23:00;15,58;14,59;21,86;-7,31;3,02
03/01/2025 00:00;18,69;18,01;21,47;-7,31;6,04
03/01/2025 01:00;9,12;14,07;13,36;-11,51;3,34
03/01/2025 02:00;8,79;12,47;11,97;-11,94;2,28
03/01/2025 03:00;0,00;13,81;0,00;-13,97;0,00
03/01/2025 04:00;6,72;11,95;11,25;-11,78;4,52
03/01/2025 05:00;11,62;10,89;13,31;-12,11;5,21
03/01/2025 06:00;15,45;14,74;20,21;-9,11;7,99
