;BELISARIO;CENTRO;COTOCOLLAO;LOS CHILLOS;TUMBACO
01/01/2025 00:00;4,79;7,82;11,56;5,50;5,29
01/01/2025 01:00;2,95;7,70;8,73;5,63;3,93
01/01/2025 02:00;0,00;6,56;0,00;2,57;0,00
01/01/2025 03:00;3,35;7,36;4,29;2,11;1,57
01/01/2025 04:00;2,75;5,65;3,67;1,11;1,23
01/01/2025 05:00;2,75;4,83;3,45;1,39;0,89
01/01/2025 06:00;2,61;4,57;4,18;1,65;0,82
01/01/2025 07:00;2,59;6,65;3,42;1,06;0,93
01/01/2025 08:00;3,55;5,41;3,68;2,71;0,68
01/01/2025 09:00;13,80;12,94;3,74;21,76;0,66
01/01/2025 10:00;8,17;13,45;3,77;11,28;0,80
01/01/2025 11:00;3,69;6,42;3,59;6,77;0,92
01/01/2025 12:00;2,94;5,15;3,43;14,05;1,19
01/01/2025 13:00;4,02;4,49;3,27;7,95;1,27
01/01/2025 14:00;2,94;4,86;3,37;6,86;1,05
01/01/2025 15:00;3,20;4,43;3,11;3,18;1,14
01/01/2025 16:00;2,81;5,04;3,19;1,77;0,60
01/01/2025 17:00;3,40;5,41;2,97;10,93;0,91
01/01/2025 18:00;2,91;4,89;3,08;7,17;0,66
01/01/2025 19:00;3,00;4,45;3,07;23,52;0,74
01/01/2025 20:00;3,06;4,02;3,19;11,55;0,98
01/01/2025 21:00;2,67;3,76;2,83;6,50;0,83
01/01/2025 22:00;2,32;3,87;2,92;9,81;0,56
01/01/2025 23:00;2,59;3,80;2,83;4,07;0,44
02/01/2025 00:00;2,65;3,78;2,90;2,23;0,66
02/01/2025 01:00;2,63;3,90;2,96;1,99;0,83
02/01/2025 02:00;2,61;4,30;2,77;0,00;0,45
02/01/2025 03:00;2,88;4,06;2,86;3,96;0,96
02/01/2025 04:00;2,95;5,62;2,94;2,94;0,70
02/01/2025 05:00;3,03;5,46;2,93;1,63;0,82
02/01/2025 06:00;2,76;5,41;2,73;1,80;0,89
02/01/2025 07:00;3,10;5,41;3,10;2,80;0,79
02/01/2025 08:00;3,24;5,73;3,13;13,87;0,82
02/01/2025 09:00;3,57;5,37;3,09;44,63;0,68
02/01/2025 10:00;3,25;4,73;3,32;20,49;0,65
02/01/2025 11:00;3,54;4,74;3,06;10,48;0,46
02/01/2025 12:00;3,33;4,48;3,23;3,83;0,80
02/01/2025 13:00;3,20;5,02;3,29;8,43;0,64
02/01/2025 14:00;3,80;5,43;3,14;17,83;0,58
02/01/2025 15:00;3,63;5,45;3,45;15,47;0,73
02/01/2025 16:00;3,69;5,67;3,08;4,83;0,44
02/01/2025 17:00;3,31;5,17;3,06;3,86;0,65
02/01/2025 18:00;3,05;5,69;3,29;3,21;0,67
02/01/2025 19:00;2,94;4,41;3,32;2,70;0,51
02/01/2025 20:00;2,98;5,01;3,50;4,68;0,65
02/01/2025 21:00;2,74;4,43;3,54;3,23;0,79
02/01/2025 22:00;2,74;4,36;3,30;2,33;0,31
02/01/2025 23:00;2,78;4,23;3,25;1,92;0,45
03/01/2025 00:00;2,90;4,26;3,40;3,35;0,51
